################################################################################
##                                                                            ##
## This file contains the default FATDMA allocations in a tab separated form. ##
## Lines starting with hash (#) are considered comments.                      ##
##                                                                            ##
################################################################################


11-II	161	1	250 or 750	36 or 536	1	250 or 750	Base Station report*	161	   
	103	1	0 or 1125	678	1	0 or 1125	Data Link  Management + general purpose *		   
	952	0, 1, 2 or 3	0 or 1125	377	0, 1, 2 or 3	0 or 1125	General purpose *		   
12-I	44	1	250 or 750	169 or 419	1	250 or 750	Base Station report*	44	   
	679	1	0 or 1125	104	1	0 or 1125	Data Link  Management + general purpose *		   
	387	0, 1, 2 or 3	0 or 1125	962	0, 1, 2 or 3	0 or 1125	General purpose *		   
12-II	169	1	250 or 750	44 or 544	1	250 or 750	Base Station report*	169	   
	104	1	0 or 1125	679	1	0 or 1125	Data Link  Management + general purpose *		   
	962	0, 1, 2 or 3	0 or 1125	387	0, 1, 2 or 3	0 or 1125	General purpose *		   
13-I	45	1	250 or 750	170  or 420	1	250 or 750	Base Station report*	45	   
	402	1	0 or 1125	977	1	0 or 1125	Data Link  Management + general purpose *		   
	687	0, 1, 2 or 3	0 or 1125	112	0, 1, 2 or 3	0 or 1125	General purpose *		   
13-II	170	1	250 or 750	45 or 545	1	250 or 750	Base Station report*	170	   
	977	1	0 or 1125	402	1	0 or 1125	Data Link  Management + general purpose *		   
	112	0, 1, 2 or 3	0 or 1125	687	0, 1, 2 or 3	0 or 1125	General purpose *		   
14-I	46	1	250 or 750	171 or 421	1	250 or 750	Base Station report*	46	   
	403	1	0 or 1125	978	1	0 or 1125	Data Link  Management + general purpose *		   
	702	0, 1, 2 or 3	0 or 1125	119	0, 1, 2 or 3	0 or 1125	General purpose *		   
14-II	171	1	250 or 750	46 or 546	1	250 or 750	Base Station report*	171	   
	978	1	0 or 1125	403	1	0 or 1125	Data Link  Management + general purpose *		   
	119	0, 1, 2 or 3	0 or 1125	702	0, 1, 2 or 3	0 or 1125	General purpose *		   
15-I	50	1	250 or 750	175 or 425	1	250 or 750	Base Station report*	50	   
	404	1	0 or 1125	979	1	0 or 1125	Data Link  Management + general purpose *		   
	712	0, 1, 2 or 3	0 or 1125	127	0, 1, 2 or 3	0 or 1125	General purpose *		   
15-II	175	1	250 or 750	50 or 550	1	250 or 750	Base Station report*	175	   
	979	1	0 or 1125	404	1	0 or 1125	Data Link  Management + general purpose *		   
	127	0, 1, 2 or 3	0 or 1125	712	0, 1, 2 or 3	0 or 1125	General purpose *		   
16-I	51	1	250 or 750	176 or 426	1	250 or 750	Base Station report*	51	   
	727	1	0 or 1125	137	1	0 or 1125	Data Link  Management + general purpose *		   
	412	0, 1, 2 or 3	0 or 1125	987	0, 1, 2 or 3	0 or 1125	General purpose *		   
16-II	176	1	250 or 750	51 or 551	1	250 or 750	Base Station report*	176	   
	137	1	0 or 1125	727	1	0 or 1125	Data Link  Management + general purpose *		   
	987	0, 1, 2 or 3	0 or 1125	412	0, 1, 2 or 3	0 or 1125	General purpose *		 
17-I	60	1	250 or 750	185 or 435	1	250 or 750	Base Station report*	60	   
	728	1	0 or 1125	138	1	0 or 1125	Data Link  Management + general purpose *		   
	427	0, 1, 2 or 3	0 or 1125	994	0, 1, 2 or 3	0 or 1125	General purpose *		   
17-II	185	1	250 or 750	60 or 560	1	250 or 750	Base Station report*	185	   
	138	1	0 or 1125	728	1	0 or 1125	Data Link  Management + general purpose *		   
	994	0, 1, 2 or 3	0 or 1125	427	0, 1, 2 or 3	0 or 1125	General purpose *		   
18-I	61	1	250 or 750	186 or 436	1	250 or 750	Base Station report*	61	   
	729	1	0 or 1125	139	1	0 or 1125	Data Link  Management + general purpose *		   
	452	0, 1, 2 or 3	0 or 1125	1002	0, 1, 2 or 3	0 or 1125	General purpose *		   
18-II	186	1	250 or 750	61 or 561	1	250 or 750	Base Station report*	186	   
	139	1	0 or 1125	729	1	0 or 1125	Data Link  Management + general purpose *		   
	1002	0, 1, 2 or 3	0 or 1125	452	0, 1, 2 or 3	0 or 1125	General purpose *		   
19-I	69	1	250 or 750	194 or 444	1	250 or 750	Base Station report*	69	   
	462	1	0 or 1125	1012	1	0 or 1125	Data Link  Management + general purpose *		   
	737	0, 1, 2 or 3	0 or 1125	152	0, 1, 2 or 3	0 or 1125	General purpose *		   
19-II	194	1	250 or 750	69 or 569	1	250 or 750	Base Station report*	194	   
	1012	1	0 or 1125	462	1	0 or 1125	Data Link  Management + general purpose *		   
	152	0, 1, 2 or 3	0 or 1125	737	0, 1, 2 or 3	0 or 1125	General purpose *		   
20-I	70	1	250 or 750	195 or 445	1	250 or 750	Base Station report*	70	   
	463	1	0 or 1125	1013	1	0 or 1125	Data Link  Management + general purpose *		   
	744	0, 1, 2 or 3	0 or 1125	162	0, 1, 2 or 3	0 or 1125	General purpose *		   
20-II	195	1	250 or 750	70 or 570	1	250 or 750	Base Station report*	195	   
	1013	1	0 or 1125	463	1	0 or 1125	Data Link  Management + general purpose *		   
	162	0, 1, 2 or 3	0 or 1125	744	0, 1, 2 or 3	0 or 1125	General purpose *		   
21-I	71	1	250 or 750	196 or 446	1	250 or 750	Base Station report*	71	   
	464	1	0 or 1125	1014	1	0 or 1125	Data Link  Management + general purpose *		   
	752	0, 1, 2 or 3	0 or 1125	177	0, 1, 2 or 3	0 or 1125	General purpose *		   
21-II	196	1	250 or 750	71 or 571	1	250 or 750	Base Station report*	196	   
	1014	1	0 or 1125	464	1	0 or 1125	Data Link  Management + general purpose *		   
	177	0, 1, 2 or 3	0 or 1125	752	0, 1, 2 or 3	0 or 1125	General purpose *		   
22-I	75	1	250 or 750	200 or 450	1	250 or 750	Base Station report*	75	   
	762	1	0 or 1125	187	1	0 or 1125	Data Link  Management + general purpose *		   
	437	0, 1, 2 or 3	0 or 1125	1027	0, 1, 2 or 3	0 or 1125	General purpose *		   
22-II	200	1	250 or 750	75 or 575	1	250 or 750	Base Station report*	200	   
	187	1	0 or 1125	762	1	0 or 1125	Data Link  Management + general purpose *		   
	1027	0, 1, 2 or 3	0 or 1125	437	0, 1, 2 or 3	0 or 1125	General purpose *		   
23-I	76	1	250 or 750	201 or 451	1	250 or 750	Base Station report*	76	   
	763	1	0 or 1125	188	1	0 or 1125	Data Link  Management + general purpose *		   
	477	0, 1, 2 or 3	0 or 1125	1037	0, 1, 2 or 3	0 or 1125	General purpose *		   
23-II	201	1	250 or 750	76 or 576	1	250 or 750	Base Station report*	201	   
	188	1	0 or 1125	763	1	0 or 1125	Data Link  Management + general purpose *		   
	1037	0, 1, 2 or 3	0 or 1125	477	0, 1, 2 or 3	0 or 1125	General purpose *		   
24-I	85	1	250 or 750	210 or 460	1	250 or 750	Base Station report*	85	   
	764	1	0 or 1125	189	1	0 or 1125	Data Link  Management + general purpose *		   
